"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 07, 2017","253.30","258.70","258.90","251.65","5.40M","-0.98%"
"Sep 06, 2017","255.80","251.55","257.55","251.05","4.24M","0.77%"
"Sep 05, 2017","253.85","246.50","254.70","244.60","9.54M","2.98%"
"Sep 04, 2017","246.50","239.00","247.20","238.95","8.27M","3.29%"
"Sep 01, 2017","238.65","238.05","240.40","238.05","2.20M","0.53%"
"Aug 31, 2017","237.40","241.50","241.50","235.85","8.40M","-1.82%"
"Aug 30, 2017","241.80","240.95","242.40","239.15","3.26M","1.49%"
"Aug 29, 2017","238.25","242.50","242.50","238.00","3.05M","-2.20%"
"Aug 28, 2017","243.60","242.00","244.30","241.55","2.23M","0.95%"
"Aug 24, 2017","241.30","242.40","242.80","239.60","3.84M","0.08%"
"Aug 23, 2017","241.10","242.30","242.50","239.50","3.69M","0.23%"
"Aug 22, 2017","240.55","240.55","243.05","238.55","3.43M","0.88%"
"Aug 21, 2017","238.45","244.00","249.40","237.55","6.56M","-2.01%"
"Aug 18, 2017","243.35","246.50","247.90","241.70","3.44M","-1.46%"
"Aug 17, 2017","246.95","239.40","249.35","237.05","20.95M","3.78%"
"Aug 16, 2017","237.95","237.00","239.90","234.50","7.86M","-0.08%"
"Aug 14, 2017","238.15","236.60","240.90","236.15","3.09M","0.95%"
"Aug 11, 2017","235.90","237.00","240.40","233.70","3.34M","-1.28%"
"Aug 10, 2017","238.95","241.20","242.25","237.50","2.76M","-1.46%"
"Aug 09, 2017","242.50","244.90","245.30","241.10","1.80M","-1.04%"
"Aug 08, 2017","245.05","248.40","250.95","243.20","3.34M","-2.56%"
"Aug 07, 2017","251.50","249.80","253.20","248.60","3.34M","0.92%"
"Aug 04, 2017","249.20","242.00","250.20","238.45","6.57M","3.08%"
"Aug 03, 2017","241.75","251.60","251.80","241.10","9.66M","-3.63%"
"Aug 02, 2017","250.85","251.95","253.40","249.00","3.70M","-0.24%"
"Aug 01, 2017","251.45","249.90","253.50","249.45","5.25M","0.94%"
"Jul 31, 2017","249.10","252.00","252.35","248.00","3.58M","-0.97%"
"Jul 28, 2017","251.55","254.20","256.60","250.00","2.64M","-1.45%"
"Jul 27, 2017","255.25","261.60","262.20","254.50","1.95M","-2.07%"
"Jul 26, 2017","260.65","258.40","261.90","258.05","2.20M","0.91%"
"Jul 25, 2017","258.30","262.00","262.35","257.75","1.81M","-1.24%"
"Jul 24, 2017","261.55","263.00","265.25","260.10","3.36M","-0.30%"
"Jul 21, 2017","262.35","255.00","262.95","254.10","7.72M","2.76%"
"Jul 20, 2017","255.30","254.70","258.50","254.25","3.92M","0.24%"
"Jul 19, 2017","254.70","248.05","256.65","248.05","4.27M","2.49%"
"Jul 18, 2017","248.50","248.50","249.30","245.75","5.34M","0.61%"
"Jul 17, 2017","247.00","250.75","251.00","246.05","4.45M","-1.38%"
"Jul 14, 2017","250.45","253.95","254.30","248.10","2.91M","-1.26%"
"Jul 13, 2017","253.65","254.20","255.80","251.85","2.30M","0.08%"
"Jul 12, 2017","253.45","255.00","256.75","253.10","2.64M","-0.41%"
"Jul 11, 2017","254.50","259.00","259.90","253.75","1.81M","-1.66%"
"Jul 10, 2017","258.80","255.00","259.35","251.50","719.44K","3.07%"
"Jul 07, 2017","251.10","250.05","252.95","250.05","1.76M","-0.14%"
"Jul 06, 2017","251.45","247.50","252.80","247.10","2.80M","1.60%"
"Jul 05, 2017","247.50","248.80","249.00","246.25","1.26M","0.30%"
"Jul 04, 2017","246.75","250.50","250.50","246.20","1.76M","-0.84%"
"Jul 03, 2017","248.85","245.35","249.50","242.60","2.35M","1.88%"
"Jun 30, 2017","244.25","244.70","245.90","243.50","2.38M","-0.37%"
"Jun 29, 2017","245.15","246.80","247.80","244.60","2.50M","-0.24%"
"Jun 28, 2017","245.75","246.00","247.20","244.55","3.53M","0.57%"
"Jun 27, 2017","244.35","245.10","246.60","244.00","2.07M","-0.22%"
"Jun 23, 2017","244.90","245.70","247.80","243.10","3.62M","-0.33%"
"Jun 22, 2017","245.70","250.50","251.65","245.20","3.23M","-1.90%"
"Jun 21, 2017","250.45","253.70","253.75","250.10","3.29M","-1.22%"
"Jun 20, 2017","253.55","254.45","255.00","253.00","1.05M","-0.16%"
"Jun 19, 2017","253.95","256.25","256.95","251.50","2.41M","-0.68%"
"Jun 16, 2017","255.70","254.90","257.20","253.95","3.28M","0.59%"
"Jun 15, 2017","254.20","256.80","256.95","253.00","3.32M","-1.11%"
"Jun 14, 2017","257.05","259.50","259.75","256.10","1.89M","-0.77%"
"Jun 13, 2017","259.05","260.00","260.40","258.50","1.73M","-0.48%"
"Jun 12, 2017","260.30","261.95","262.50","260.10","1.68M","-0.46%"
"Jun 09, 2017","261.50","264.00","264.50","261.00","1.74M","-0.53%"
"Jun 08, 2017","262.90","264.60","264.75","262.10","1.40M","-0.57%"
"Jun 07, 2017","264.40","263.00","265.00","262.50","1.62M","0.80%"
"Jun 06, 2017","262.30","265.00","265.30","262.00","1.34M","-0.85%"
"Jun 05, 2017","264.55","267.45","267.90","263.70","3.03M","-1.58%"
"Jun 02, 2017","268.80","265.35","270.25","265.35","2.60M","1.30%"
"Jun 01, 2017","265.35","263.00","266.10","262.75","1.29M","1.07%"
"May 31, 2017","262.55","268.00","268.90","262.00","3.56M","-1.92%"
"May 30, 2017","267.70","259.80","268.60","259.50","4.78M","0.15%"
"May 29, 2017","267.30","270.00","271.00","265.75","3.30M","-0.35%"
"May 26, 2017","268.25","266.00","269.25","265.90","1.84M","1.05%"
"May 25, 2017","265.45","263.80","266.25","262.75","4.13M","1.41%"
"May 24, 2017","261.75","268.30","270.25","261.00","3.02M","-2.28%"
"May 23, 2017","267.85","273.90","274.80","267.15","2.98M","-2.19%"
"May 22, 2017","273.85","277.35","277.75","273.50","1.56M","-0.87%"
"May 19, 2017","276.25","278.40","283.65","275.75","4.25M","-0.07%"
"May 18, 2017","276.45","275.00","278.40","275.00","1.62M","0.04%"
"May 17, 2017","276.35","275.20","278.00","275.00","2.15M","0.14%"
"May 16, 2017","275.95","277.40","277.70","274.50","2.26M","-0.65%"
"May 15, 2017","277.75","277.25","278.50","277.25","2.53M","0.42%"
"May 12, 2017","276.60","274.60","278.05","274.60","2.69M","0.88%"
"May 11, 2017","274.20","279.90","280.00","273.75","4.89M","-1.56%"
"May 10, 2017","278.55","277.70","279.30","277.10","1.43M","0.14%"
"May 09, 2017","278.15","279.40","280.15","276.00","2.47M","-0.34%"
"May 08, 2017","279.10","281.00","281.00","278.20","1.67M","0.22%"
"May 05, 2017","278.50","282.00","284.45","278.05","5.13M","-0.62%"
"May 04, 2017","280.25","280.00","281.60","279.00","2.23M","0.25%"
"May 03, 2017","279.55","277.40","280.20","275.00","2.62M","1.82%"
"May 02, 2017","274.55","278.70","278.70","273.85","2.10M","-0.76%"
"Apr 28, 2017","276.65","274.15","278.25","274.15","2.24M","0.91%"
"Apr 27, 2017","274.15","276.85","277.90","273.10","2.59M","-0.90%"
"Apr 26, 2017","276.65","278.90","280.70","276.00","2.87M","-0.59%"
"Apr 25, 2017","278.30","278.00","278.90","277.15","2.43M","0.41%"
"Apr 24, 2017","277.15","279.45","279.45","276.30","4.08M","0.05%"
"Apr 21, 2017","277.00","280.95","281.70","276.40","3.53M","-0.86%"
"Apr 20, 2017","279.40","283.90","284.00","278.10","3.83M","-1.17%"
"Apr 19, 2017","282.70","278.50","283.40","276.10","3.99M","1.24%"
"Apr 18, 2017","279.25","283.00","284.50","278.70","4.91M","-2.29%"
"Apr 17, 2017","285.80","291.00","291.00","285.20","1.52M","-1.80%"
"Apr 13, 2017","291.05","288.90","291.55","288.55","3.85M","0.36%"
"Apr 12, 2017","290.00","288.25","291.85","288.00","4.75M","0.38%"
"Apr 11, 2017","288.90","286.50","290.40","286.15","4.06M","0.75%"
"Apr 10, 2017","286.75","284.90","288.60","284.75","5.20M","1.00%"
"Apr 07, 2017","283.90","286.20","286.20","280.10","11.86M","-0.87%"
"Apr 06, 2017","286.40","289.80","289.80","285.75","8.56M","-1.26%"
"Apr 05, 2017","290.05","296.80","296.80","289.80","7.90M","-1.68%"
"Apr 03, 2017","295.00","292.65","295.25","291.00","3.25M","0.80%"
"Mar 31, 2017","292.65","290.00","294.20","289.60","7.02M","1.09%"
"Mar 30, 2017","289.50","295.50","295.50","289.00","7.14M","-1.56%"
"Mar 29, 2017","294.10","290.50","294.60","290.20","5.76M","1.29%"
"Mar 28, 2017","290.35","291.90","292.40","289.60","5.42M","-0.39%"
"Mar 27, 2017","291.50","293.45","293.45","290.45","5.00M","-2.13%"
"Mar 24, 2017","297.85","298.00","300.00","295.65","9.64M","0.66%"
"Mar 23, 2017","295.90","292.35","296.95","292.30","11.22M","1.28%"
"Mar 22, 2017","292.15","291.00","293.30","289.50","4.83M","-0.03%"
"Mar 21, 2017","292.25","293.00","294.80","291.00","6.91M","0.15%"
"Mar 20, 2017","291.80","290.00","292.40","288.05","7.08M","0.88%"
"Mar 17, 2017","289.25","293.95","294.60","288.20","9.07M","-0.92%"
"Mar 16, 2017","291.95","294.60","295.50","291.20","8.60M","-0.26%"
"Mar 15, 2017","292.70","296.50","296.95","292.00","6.25M","-0.76%"
"Mar 14, 2017","294.95","302.00","302.00","293.90","9.14M","-6.75%"
"Mar 10, 2017","316.30","319.55","320.00","315.25","5.24M","-0.57%"
"Mar 09, 2017","318.10","319.35","319.90","317.55","4.37M","-0.66%"
"Mar 08, 2017","320.20","325.00","325.70","319.30","4.29M","-0.81%"
"Mar 07, 2017","322.80","325.00","326.25","321.30","4.79M","-0.03%"
"Mar 06, 2017","322.90","325.00","327.90","320.60","4.04M","0.51%"
"Mar 03, 2017","321.25","322.00","324.40","320.50","2.40M","-0.05%"
"Mar 02, 2017","321.40","318.35","326.35","318.35","4.01M","0.37%"
"Mar 01, 2017","320.20","323.00","324.50","318.60","4.13M","-0.53%"
"Feb 28, 2017","321.90","330.00","331.40","320.10","5.25M","-2.44%"
"Feb 27, 2017","329.95","330.00","332.30","327.70","5.62M","0.69%"
"Feb 23, 2017","327.70","329.60","332.00","325.50","9.87M","-0.20%"
"Feb 22, 2017","328.35","322.30","329.70","320.55","3.48M","2.74%"
"Feb 21, 2017","319.60","320.50","321.40","317.10","1.68M","-0.09%"
